,PLAYER_ID,PLAYER,AVG,driving_distance_AVG,fir_%,gir_%,putting_AVG,scrambling_%
0,46046,Scottie Scheffler,68.131,308.3,63.04%,71.39%,28.03,68.69%
1,28237,Rory McIlroy,69.083,323.0,51.24%,67.72%,28.59,63.80%
2,30911,Tommy Fleetwood,69.357,299.4,65.37%,65.84%,28.23,63.30%
3,54591,Ben Griffin,69.692,305.1,60.03%,69.66%,28.7,63.56%
4,34098,Russell Henley,69.757,289.1,68.68%,70.06%,28.85,63.40%
5,57975,Harry Hall,69.764,303.6,58.05%,65.01%,27.37,65.88%
6,39324,J.J. Spaun,69.83,306.1,62.05%,69.54%,28.96,60.92%
7,52215,Robert MacIntyre,69.9,302.7,61.48%,68.65%,29.08,60.76%
8,54421,Garrick Higgo,70.032,312.9,58.14%,71.64%,28.42,65.71%
9,49960,Sepp Straka,70.047,297.9,65.66%,70.18%,28.72,59.31%
10,33968,Thorbjørn Olesen,70.1,307.2,64.29%,71.68%,29.53,59.13%
11,48081,Xander Schauffele,70.112,311.9,55.58%,66.93%,29.09,57.48%
12,34046,Jordan Spieth,70.118,306.6,58.12%,64.62%,28.51,59.58%
13,34099,Harris English,70.143,304.3,61.39%,66.14%,28.76,63.48%
14,59095,Chris Gotterup,70.151,316.7,55.75%,70.33%,29.07,63.58%
15,52453,Nicolai Højgaard,70.178,318.8,53.19%,70.41%,29.35,55.23%
16,47504,Sam Burns,70.184,307.5,60.20%,66.08%,27.96,60.28%
17,33448,Justin Thomas,70.187,305.3,53.32%,65.28%,27.86,59.20%
18,48117,Kurt Kitayama,70.194,318.0,57.75%,67.79%,28.66,58.74%
19,33141,Keegan Bradley,70.195,306.4,61.39%,66.04%,28.5,62.58%
20,32839,Hideki Matsuyama,70.214,300.2,58.50%,65.70%,28.45,64.97%
21,46717,Viktor Hovland,70.229,303.3,63.13%,67.26%,28.8,57.44%
22,46414,Aaron Rai,70.234,289.6,73.85%,70.52%,29.71,59.16%
23,34021,Bud Cauley,70.236,301.8,60.96%,65.66%,28.79,60.45%
24,39997,Corey Conners,70.26,298.2,66.64%,69.20%,29.31,59.02%
25,46442,Maverick McNealy,70.264,306.8,59.15%,68.14%,29.21,57.88%
26,52955,Ludvig Åberg,70.281,313.9,59.52%,66.18%,28.55,60.00%
27,33204,Shane Lowry,70.312,298.1,63.01%,67.06%,28.9,62.17%
28,50525,Collin Morikawa,70.313,298.3,70.65%,69.23%,29.17,59.86%
29,35450,Patrick Cantlay,70.354,305.9,58.94%,70.05%,28.95,59.65%
30,29936,Ryan Fox,70.364,308.7,52.28%,64.21%,28.54,54.77%
31,40098,Matt Fitzpatrick,70.382,302.7,61.29%,66.74%,28.82,61.40%
32,48887,Matt Wallace,70.387,304.1,59.74%,67.35%,29.14,63.64%
33,46340,Alex Smalley,70.389,308.4,64.58%,68.38%,29.03,63.29%
34,40250,Taylor Pendrith,70.39,311.2,58.74%,68.97%,29.51,57.86%
35,40026,Daniel Berger,70.4,302.6,66.63%,67.93%,29.25,60.74%
36,47679,Victor Perez,70.401,305.4,64.76%,72.08%,29.56,59.95%
37,39975,Michael Kim,70.435,299.7,58.93%,64.99%,28.68,62.98%
38,45242,Kevin Yu,70.438,310.2,63.67%,70.76%,29.34,55.74%
39,25493,Nick Taylor,70.459,295.2,66.58%,68.90%,29.21,62.75%
40,37455,Si Woo Kim,70.462,297.4,66.37%,66.02%,28.47,61.79%
41,39546,Keith Mitchell,70.468,314.4,60.07%,69.93%,29.08,61.43%
42,47993,Denny McCarthy,70.473,295.6,60.53%,65.74%,28.62,61.00%
43,32102,Rickie Fowler,70.475,305.3,63.69%,65.30%,28.36,63.20%
44,59836,Pierceson Coody,70.478,314.2,63.89%,72.47%,29.64,61.01%
45,28089,Jason Day,70.48,300.3,61.06%,66.04%,28.53,60.42%
46,59018,Ryan Gerard,70.494,303.3,63.14%,65.34%,28.84,58.60%
47,51696,Rico Hoey,70.5,309.8,68.69%,73.01%,30.07,58.84%
48,59141,Matt McCarty,70.505,298.9,65.06%,66.80%,28.27,62.80%
49,54628,Lee Hodges,70.506,302.2,66.26%,70.95%,29.14,63.66%
50,57364,Michael Thorbjornsen,70.508,318.0,64.16%,73.00%,29.53,57.81%
51,31646,Emiliano Grillo,70.51,300.3,68.47%,68.52%,28.91,59.20%
52,57366,Cameron Young,70.51,313.2,53.85%,64.18%,28.02,59.36%
53,56630,Akshay Bhatia,70.558,298.7,60.51%,67.50%,28.56,56.19%
54,23108,Matt Kuchar,70.566,284.9,65.16%,66.20%,27.92,67.12%
55,60004,Jacob Bridgeman,70.573,302.5,60.28%,64.79%,28.43,62.95%
56,25900,Lucas Glover,70.576,292.3,68.36%,65.41%,28.59,60.17%
57,31323,Gary Woodland,70.594,313.0,59.00%,67.54%,29.05,58.11%
58,47420,Jake Knapp,70.6,313.4,55.62%,67.60%,28.51,62.14%
59,39335,Kevin Roy,70.6,307.6,65.40%,69.41%,29.07,61.66%
60,22405,Justin Rose,70.614,301.9,58.54%,63.98%,28.47,55.32%
61,55893,Sam Stevens,70.624,306.0,59.73%,65.52%,29.01,62.24%
62,51894,Vince Whaley,70.625,309.8,56.30%,68.60%,28.57,64.81%
63,57586,Jesper Svensson,70.658,321.4,56.35%,67.08%,28.78,57.92%
64,48867,Matti Schmid,70.663,313.0,57.28%,69.18%,29.14,55.58%
65,49771,J.T. Poston,70.694,295.4,65.75%,65.28%,28.76,60.55%
66,52686,Rasmus Højgaard,70.696,314.9,55.68%,66.75%,29.44,52.91%
67,45522,Christiaan Bezuidenhout,70.724,290.0,65.46%,66.54%,28.9,63.81%
68,27644,Brian Harman,70.725,294.7,63.14%,65.20%,28.77,60.73%
69,47917,Takumi Kanaya,70.73,294.0,73.61%,66.67%,28.8,68.67%
70,34256,Andrew Putnam,70.744,282.5,71.90%,70.80%,28.95,66.32%
71,37275,Sam Ryder,70.757,301.6,60.88%,65.92%,28.3,63.02%
72,51349,Nico Echavarria,70.762,296.9,64.07%,67.15%,28.59,59.50%
73,57123,Steven Fisk,70.769,313.6,61.92%,71.93%,29.84,58.31%
74,59440,Ricky Castillo,70.775,312.4,61.31%,69.52%,29.27,63.55%
75,52666,Sami Valimaki,70.779,298.4,61.54%,69.05%,28.74,58.97%
76,51997,Andrew Novak,70.796,301.0,57.03%,60.59%,28.06,59.70%
77,39971,Sungjae Im,70.81,296.9,68.01%,62.60%,28.16,60.64%
78,59143,Mac Meissner,70.816,304.2,59.69%,66.74%,28.83,65.55%
79,24502,Adam Scott,70.82,304.9,58.33%,66.08%,29.24,56.08%
