RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,33199,Matteo Manassero,69.54%,210,302
2,0,46046,Scottie Scheffler,68.69%,283,412
3,0,47917,Takumi Kanaya,68.67%,309,450
4,0,23108,Matt Kuchar,67.12%,245,365
5,0,34256,Andrew Putnam,66.32%,258,389
6,0,57975,Harry Hall,65.88%,390,592
7,0,54421,Garrick Higgo,65.71%,161,245
8,-1,59143,Mac Meissner,65.55%,314,479
9,0,32839,Hideki Matsuyama,64.97%,345,531
10,-2,51894,Vince Whaley,64.81%,337,520
11,-1,28775,Nate Lashley,64.42%,201,312
12,-1,29535,Brice Garnett,64.20%,226,352
13,-1,45522,Christiaan Bezuidenhout,63.81%,342,536
14,-1,28237,Rory McIlroy,63.80%,215,337
15,0,54628,Lee Hodges,63.66%,233,366
16,8,48887,Matt Wallace,63.64%,273,429
17,-1,59095,Chris Gotterup,63.58%,309,486
18,1,54591,Ben Griffin,63.56%,361,568
19,-6,59440,Ricky Castillo,63.55%,258,406
20,1,27649,Brandt Snedeker,63.54%,237,373
21,-4,34099,Harris English,63.48%,325,512
22,-4,34098,Russell Henley,63.40%,246,388
23,-3,30911,Tommy Fleetwood,63.30%,288,455
24,-3,46340,Alex Smalley,63.29%,281,444
25,-2,32102,Rickie Fowler,63.20%,304,481
26,-2,37275,Sam Ryder,63.02%,317,503
27,0,39975,Michael Kim,62.98%,381,605
28,3,60004,Jacob Bridgeman,62.95%,367,583
29,1,59141,Matt McCarty,62.80%,319,508
30,2,25493,Nick Taylor,62.75%,288,459
31,-5,55789,Taylor Montgomery,62.63%,243,388
32,2,33141,Keegan Bradley,62.58%,306,489
33,-4,36699,Patrick Rodgers,62.54%,354,566
34,-6,51890,Greyson Sigg,62.40%,234,375
35,-2,55623,Kaito Onishi,62.36%,222,356
36,0,58605,Quade Cummins,62.31%,281,451
37,-2,55893,Sam Stevens,62.24%,394,633
38,-1,33204,Shane Lowry,62.17%,258,415
39,-1,47420,Jake Knapp,62.14%,279,449
40,-1,51287,Ryo Hisatsune,61.81%,293,474
41,2,50582,Jeremy Paul,61.80%,233,377
42,-2,37455,Si Woo Kim,61.79%,359,581
43,-2,36326,David Lipsky,61.76%,281,455
44,6,47983,Chad Ramey,61.75%,268,434
45,2,47591,Eric Cole,61.70%,406,658
46,-2,39335,Kevin Roy,61.66%,275,446
47,1,35506,Mackenzie Hughes,61.63%,326,529
48,-2,39546,Keith Mitchell,61.43%,266,433
49,0,40098,Matt Fitzpatrick,61.40%,272,443
50,-8,57900,Chandler Phillips,61.22%,281,459
51,1,55165,Noah Goodwin,61.11%,231,378
52,-7,32757,Patton Kizzire,61.10%,234,383
53,10,28252,Seamus Power,61.05%,257,421
54,0,59836,Pierceson Coody,61.01%,133,218
55,-4,47993,Denny McCarthy,61.00%,316,518
56,8,39324,J.J. Spaun,60.92%,304,499
57,-3,36824,Paul Peterson,60.83%,205,337
58,10,36884,Ben Kohles,60.81%,225,370
59,-4,52215,Robert MacIntyre,60.76%,288,474
60,-4,40026,Daniel Berger,60.74%,263,433
60,-7,35461,Beau Hossler,60.74%,345,568
62,-5,27644,Brian Harman,60.73%,331,545
