RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,1,36824,Paul Peterson,74.32%,599,806
2,-1,46414,Aaron Rai,73.85%,740,1002
3,0,47917,Takumi Kanaya,73.61%,770,1046
4,0,36884,Ben Kohles,72.82%,769,1056
5,0,34256,Andrew Putnam,71.90%,742,1032
6,1,34076,Joel Dahmen,70.91%,719,1014
7,-1,50525,Collin Morikawa,70.65%,756,1070
8,2,27649,Brandt Snedeker,69.42%,597,860
9,-1,29535,Brice Garnett,69.27%,622,898
10,7,40058,Zac Blair,69.14%,513,742
11,3,51950,Max McGreevy,68.86%,785,1140
12,1,51696,Rico Hoey,68.69%,882,1284
13,-4,34098,Russell Henley,68.68%,695,1012
14,1,31646,Emiliano Grillo,68.47%,886,1294
15,-4,25900,Lucas Glover,68.36%,715,1046
16,-4,39971,Sungjae Im,68.01%,925,1360
17,1,52513,Carson Young,67.99%,684,1006
18,7,59160,John Pak,67.39%,624,926
19,10,55165,Noah Goodwin,67.22%,605,900
20,-4,46443,Brian Campbell,66.77%,633,948
21,-2,39997,Corey Conners,66.64%,753,1130
22,-2,40026,Daniel Berger,66.63%,697,1046
23,-1,25493,Nick Taylor,66.58%,763,1146
24,7,40115,Adam Svensson,66.54%,692,1040
25,8,51890,Greyson Sigg,66.39%,636,958
26,1,57362,Austin Eckroat,66.38%,766,1154
27,-6,37455,Si Woo Kim,66.37%,884,1332
28,4,54628,Lee Hodges,66.26%,648,978
29,7,36326,David Lipsky,65.84%,715,1086
30,-7,49771,J.T. Poston,65.75%,810,1232
31,-7,49960,Sepp Straka,65.66%,696,1060
32,9,55708,Hayden Buckley,65.51%,473,722
33,-7,45522,Christiaan Bezuidenhout,65.46%,817,1248
34,0,39335,Kevin Roy,65.40%,739,1130
35,-7,30911,Tommy Fleetwood,65.37%,672,1028
36,17,23108,Matt Kuchar,65.16%,546,838
37,-7,59141,Matt McCarty,65.06%,769,1182
38,2,40162,Justin Lower,64.93%,687,1058
39,4,47983,Chad Ramey,64.89%,693,1068
40,-2,47679,Victor Perez,64.76%,715,1104
41,-6,46340,Alex Smalley,64.58%,700,1084
42,7,52375,Doug Ghim,64.46%,700,1086
43,15,60882,Thomas Rosenmueller,64.30%,616,958
44,11,33968,Thorbjørn Olesen,64.29%,639,994
45,-3,30163,Henrik Norlander,64.19%,701,1092
46,10,57364,Michael Thorbjornsen,64.16%,707,1102
47,-4,28252,Seamus Power,64.08%,660,1030
48,9,51349,Nico Echavarria,64.07%,724,1130
49,-12,58168,Davis Thompson,64.04%,771,1204
50,4,58619,Kevin Velo,63.94%,523,818
51,0,59836,Pierceson Coody,63.89%,391,612
52,7,39327,Ben Silverman,63.73%,594,932
53,-14,32102,Rickie Fowler,63.69%,684,1074
54,-3,45242,Kevin Yu,63.67%,806,1266
55,-12,59018,Ryan Gerard,63.14%,841,1332
55,-12,27644,Brian Harman,63.14%,769,1218
57,-10,46717,Viktor Hovland,63.13%,572,906
58,2,48153,Matthieu Pavon,63.09%,670,1062
59,-11,46046,Scottie Scheffler,63.04%,701,1112
60,-11,33204,Shane Lowry,63.01%,615,976
61,9,27129,Luke List,62.98%,621,986
62,-10,45523,Thriston Lawrence,62.95%,452,718
63,6,35658,Kris Ventura,62.52%,659,1054
64,13,51287,Ryo Hisatsune,62.23%,743,1194
64,-3,56781,Isaiah Salinda,62.23%,580,932
66,10,33399,Adam Hadwin,62.14%,686,1104
67,-4,36801,Mark Hubbard,62.08%,781,1258
68,5,39324,J.J. Spaun,62.05%,788,1270
69,14,63121,William Mouw,61.95%,596,962
70,15,57123,Steven Fisk,61.92%,644,1040
71,3,35310,Lanto Griffin,61.83%,575,930
72,-1,60067,Joe Highsmith,61.60%,685,1112
73,5,57900,Chandler Phillips,61.58%,622,1010
74,20,52666,Sami Valimaki,61.54%,656,1066
75,-13,52215,Robert MacIntyre,61.48%,723,1176
76,14,58933,Will Chandler,61.46%,606,986
77,-13,33141,Keegan Bradley,61.39%,690,1124
77,-13,34099,Harris English,61.39%,717,1168
79,-13,33413,Ben Martin,61.38%,399,650
80,2,59440,Ricky Castillo,61.31%,629,1026
81,-14,40098,Matt Fitzpatrick,61.29%,635,1036
82,-14,30926,Chris Kirk,61.15%,636,1040
