RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,2,51696,Rico Hoey,73.01%,1209,1656,-0.28
2,-1,57364,Michael Thorbjornsen,73.00%,1038,1422,-0.31
3,-1,36884,Ben Kohles,72.95%,998,1368,-0.27
4,0,60882,Thomas Rosenmueller,72.71%,903,1242,-0.28
5,0,59836,Pierceson Coody,72.47%,574,792,-0.32
6,1,47679,Victor Perez,72.08%,1038,1440,-0.27
7,-1,57123,Steven Fisk,71.93%,971,1350,-0.27
8,1,33968,Thorbjørn Olesen,71.68%,929,1296,-0.30
9,0,54421,Garrick Higgo,71.64%,619,864,-0.35
10,-2,54576,Patrick Fishburn,71.52%,1017,1422,-0.27
11,-6,46046,Scottie Scheffler,71.39%,1028,1440,-0.36
12,-2,47988,Nick Hardy,71.00%,754,1062,-0.25
13,3,54628,Lee Hodges,70.95%,894,1260,-0.30
14,0,34256,Andrew Putnam,70.80%,943,1332,-0.26
15,-3,45242,Kevin Yu,70.76%,1159,1638,-0.33
16,-5,46414,Aaron Rai,70.52%,914,1296,-0.26
17,5,66743,Luke Clanton,70.47%,685,972,-0.28
18,-6,52453,Nicolai Højgaard,70.41%,659,936,-0.33
19,-4,59095,Chris Gotterup,70.33%,1152,1638,-0.29
20,1,52375,Doug Ghim,70.30%,987,1404,-0.26
21,-4,49960,Sepp Straka,70.18%,960,1368,-0.32
22,-4,34098,Russell Henley,70.06%,908,1296,-0.29
23,-4,35450,Patrick Cantlay,70.05%,933,1332,-0.31
24,0,46646,Antoine Rozner,69.98%,844,1206,-0.29
25,-2,39546,Keith Mitchell,69.93%,1007,1440,-0.31
26,12,56762,Will Gordon,69.84%,704,1008,-0.25
27,5,63121,William Mouw,69.81%,867,1242,-0.28
27,9,51890,Greyson Sigg,69.81%,867,1242,-0.26
29,14,40115,Adam Svensson,69.78%,942,1350,-0.26
30,-10,35706,Niklas Norgaard,69.67%,627,900,-0.30
31,4,54591,Ben Griffin,69.66%,1304,1872,-0.31
32,-5,46601,Trey Mullinax,69.62%,777,1116,-0.31
33,4,52513,Carson Young,69.60%,902,1296,-0.28
34,-2,39324,J.J. Spaun,69.54%,1139,1638,-0.30
35,-10,59440,Ricky Castillo,69.52%,926,1332,-0.27
36,-10,29535,Brice Garnett,69.44%,800,1152,-0.26
37,-8,39335,Kevin Roy,69.41%,1012,1458,-0.31
38,16,49453,Trevor Cone,69.40%,812,1170,-0.26
38,3,27139,David Skinns,69.40%,862,1242,-0.29
40,5,51287,Ryo Hisatsune,69.38%,1074,1548,-0.26
41,-10,35658,Kris Ventura,69.37%,949,1368,-0.30
42,-14,50525,Collin Morikawa,69.23%,947,1368,-0.29
43,-14,39997,Corey Conners,69.20%,1009,1458,-0.28
43,7,50582,Jeremy Paul,69.20%,847,1224,-0.30
45,1,48867,Matti Schmid,69.18%,1046,1512,-0.33
46,10,52666,Sami Valimaki,69.05%,957,1386,-0.30
47,-15,40250,Taylor Pendrith,68.97%,1018,1476,-0.28
48,-10,56781,Isaiah Salinda,68.91%,831,1206,-0.28
49,-6,25493,Nick Taylor,68.90%,1017,1476,-0.27
50,10,34076,Joel Dahmen,68.80%,904,1314,-0.28
51,-11,58168,Davis Thompson,68.73%,1064,1548,-0.29
52,-1,47983,Chad Ramey,68.69%,952,1386,-0.30
53,-11,52215,Robert MacIntyre,68.65%,1038,1512,-0.28
54,-8,30163,Henrik Norlander,68.64%,976,1422,-0.27
55,-2,51894,Vince Whaley,68.60%,1136,1656,-0.31
56,-2,31646,Emiliano Grillo,68.52%,1147,1674,-0.30
57,4,28252,Seamus Power,68.39%,911,1332,-0.28
58,-10,46340,Alex Smalley,68.38%,960,1404,-0.31
59,12,49947,Taylor Moore,68.16%,957,1404,-0.31
60,-11,46442,Maverick McNealy,68.14%,1153,1692,-0.30
61,2,57362,Austin Eckroat,68.02%,1004,1476,-0.29
62,2,64693,Matthew Riedel,68.01%,710,1044,-0.24
63,14,60019,Jackson Suber,67.95%,844,1242,-0.29
64,-12,40026,Daniel Berger,67.93%,917,1350,-0.26
65,-8,48117,Kurt Kitayama,67.79%,903,1332,-0.34
66,-8,28237,Rory McIlroy,67.72%,707,1044,-0.34
66,2,36824,Paul Peterson,67.72%,707,1044,-0.29
68,23,55165,Noah Goodwin,67.69%,792,1170,-0.29
69,-10,30926,Chris Kirk,67.64%,901,1332,-0.30
70,-8,47420,Jake Knapp,67.60%,937,1386,-0.35
71,7,36326,David Lipsky,67.59%,949,1404,-0.27
72,8,51950,Max McGreevy,67.55%,997,1476,-0.30
73,-8,31323,Gary Woodland,67.54%,924,1368,-0.29
74,32,55708,Hayden Buckley,67.52%,632,936,-0.26
75,-9,56630,Akshay Bhatia,67.50%,1057,1566,-0.33
76,-9,33413,Ben Martin,67.49%,571,846,-0.29
77,12,40058,Zac Blair,67.40%,643,954,-0.29
78,15,48887,Matt Wallace,67.35%,885,1314,-0.28
79,-10,28775,Nate Lashley,67.30%,642,954,-0.26
80,-10,46717,Viktor Hovland,67.26%,787,1170,-0.31
81,-7,36801,Mark Hubbard,67.16%,1088,1620,-0.30
82,22,51349,Nico Echavarria,67.15%,979,1458,-0.33
83,-11,45523,Thriston Lawrence,67.09%,628,936,-0.24
84,-9,57586,Jesper Svensson,67.08%,978,1458,-0.32
85,-12,33204,Shane Lowry,67.06%,845,1260,-0.26
86,15,40162,Justin Lower,67.03%,917,1368,-0.29
87,20,39327,Ben Silverman,67.00%,808,1206,-0.29
88,6,27129,Luke List,66.98%,856,1278,-0.27
89,-13,48081,Xander Schauffele,66.93%,771,1152,-0.30
90,-4,34587,Chan Kim,66.89%,879,1314,-0.30
91,18,58619,Kevin Velo,66.85%,710,1062,-0.26
92,3,35310,Lanto Griffin,66.83%,806,1206,-0.28
92,22,59160,John Pak,66.83%,806,1206,-0.27
92,-6,40006,Erik van Rooyen,66.83%,818,1224,-0.31
95,-17,27064,Jhonattan Vegas,66.82%,854,1278,-0.26
96,-15,59141,Matt McCarty,66.80%,1022,1530,-0.30
97,-15,54304,Karl Vilips,66.76%,697,1044,-0.31
98,-15,52686,Rasmus Højgaard,66.75%,793,1188,-0.31
99,-15,40098,Matt Fitzpatrick,66.74%,889,1332,-0.29
99,-15,59143,Mac Meissner,66.74%,961,1440,-0.28
101,-11,47917,Takumi Kanaya,66.67%,900,1350,-0.27
102,-6,27649,Brandt Snedeker,66.58%,743,1116,-0.29
103,-15,45522,Christiaan Bezuidenhout,66.54%,1066,1602,-0.27
104,-12,39977,Max Homa,66.36%,872,1314,-0.30
105,13,23108,Matt Kuchar,66.20%,715,1080,-0.31
106,-9,52955,Ludvig Åberg,66.18%,822,1242,-0.32
107,8,58605,Quade Cummins,66.14%,881,1332,-0.29
107,-9,34099,Harris English,66.14%,1000,1512,-0.27
109,-10,47504,Sam Burns,66.08%,1118,1692,-0.34
109,-10,24502,Adam Scott,66.08%,785,1188,-0.29
111,-9,33141,Keegan Bradley,66.04%,951,1440,-0.29
111,-9,28089,Jason Day,66.04%,737,1116,-0.30
113,-9,37455,Si Woo Kim,66.02%,1129,1710,-0.31
114,-2,37275,Sam Ryder,65.92%,973,1476,-0.32
115,2,51766,Wyndham Clark,65.85%,972,1476,-0.33
116,-8,30911,Tommy Fleetwood,65.84%,877,1332,-0.32
117,19,36699,Patrick Rodgers,65.82%,1090,1656,-0.30
118,-8,47993,Denny McCarthy,65.74%,994,1512,-0.29
118,1,50484,Hayden Springer,65.74%,781,1188,-0.34
120,-9,32839,Hideki Matsuyama,65.70%,1017,1548,-0.30
121,21,32757,Patton Kizzire,65.68%,733,1116,-0.28
122,-9,34021,Bud Cauley,65.66%,851,1296,-0.29
123,-7,55893,Sam Stevens,65.52%,1203,1836,-0.27
124,-4,25900,Lucas Glover,65.41%,883,1350,-0.27
124,14,51977,Max Greyserman,65.41%,1095,1674,-0.33
126,25,59866,Nick Dunlap,65.39%,871,1332,-0.28
127,5,33597,Harry Higgs,65.35%,894,1368,-0.29
128,-7,59018,Ryan Gerard,65.34%,1129,1728,-0.28
129,17,33399,Adam Hadwin,65.33%,929,1422,-0.30
130,-8,32102,Rickie Fowler,65.30%,905,1386,-0.31
131,-8,49771,J.T. Poston,65.28%,1034,1584,-0.28
131,-8,33448,Justin Thomas,65.28%,940,1440,-0.36
131,-8,50474,Tim Widing,65.28%,517,792,-0.29
134,-8,27644,Brian Harman,65.20%,1021,1566,-0.29
