RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,57975,Harry Hall,27.37,2573,94,22
2,0,55789,Taylor Montgomery,27.52,1651,60,22
3,0,33448,Justin Thomas,27.86,2229,80,22
4,0,23108,Matt Kuchar,27.92,1675,60,24
5,-1,47504,Sam Burns,27.96,2628,94,22
6,0,57366,Cameron Young,28.02,2438,87,21
7,1,46046,Scottie Scheffler,28.03,2242,80,24
8,-2,47591,Eric Cole,28.05,2833,101,21
9,0,51997,Andrew Novak,28.06,2385,85,21
10,1,39971,Sungjae Im,28.16,2732,97,23
11,-1,35461,Beau Hossler,28.18,2480,88,21
12,0,30911,Tommy Fleetwood,28.23,2089,74,24
13,1,59141,Matt McCarty,28.27,2403,85,21
14,-2,37275,Sam Ryder,28.30,2321,82,21
15,2,35532,Tom Hoge,28.33,2550,90,23
16,-1,49590,Frankie Capan III,28.35,1786,63,22
17,2,32102,Rickie Fowler,28.36,2184,77,24
18,-3,27649,Brandt Snedeker,28.37,1759,62,22
19,-1,47995,Davis Riley,28.38,2327,82,21
20,0,54421,Garrick Higgo,28.42,1364,48,24
21,1,60004,Jacob Bridgeman,28.43,2616,92,23
22,-2,36799,Stephan Jaeger,28.44,2474,87,22
23,-2,32839,Hideki Matsuyama,28.45,2447,86,22
24,-2,46443,Brian Campbell,28.47,1936,68,22
24,-2,37455,Si Woo Kim,28.47,2705,95,21
24,-2,22405,Justin Rose,28.47,1651,58,22
27,1,34466,Peter Malnati,28.49,1795,63,24
28,1,33141,Keegan Bradley,28.50,2280,80,22
28,-2,36824,Paul Peterson,28.50,1653,58,22
30,0,47420,Jake Knapp,28.51,2195,77,24
30,0,34046,Jordan Spieth,28.51,1939,68,23
32,0,45157,Cam Davis,28.52,1825,64,20
33,1,28089,Jason Day,28.53,1769,62,23
33,1,37378,Min Woo Lee,28.53,1883,66,23
35,3,29936,Ryan Fox,28.54,1998,70,23
35,3,33199,Matteo Manassero,28.54,1370,48,22
37,3,52955,Ludvig Åberg,28.55,1970,69,24
37,3,54607,Danny Walker,28.55,1856,65,23
39,3,56630,Akshay Bhatia,28.56,2485,87,24
40,3,51894,Vince Whaley,28.57,2628,92,21
41,-15,51977,Max Greyserman,28.58,2658,93,23
41,-7,36699,Patrick Rodgers,28.58,2629,92,22
43,-11,51349,Nico Echavarria,28.59,2316,81,22
43,3,25900,Lucas Glover,28.59,2144,75,24
43,3,28237,Rory McIlroy,28.59,1658,58,22
46,4,47993,Denny McCarthy,28.62,2404,84,23
47,11,47983,Chad Ramey,28.64,2205,77,23
48,-4,51766,Wyndham Clark,28.65,2349,82,24
48,-4,60067,Joe Highsmith,28.65,2292,80,23
50,-16,52370,Mason Andersen,28.66,1691,59,24
50,-2,58605,Quade Cummins,28.66,2121,74,23
