RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.131,5439,11.454,80
2,0,28237,Rory McIlroy,69.083,4008,-1.174,58
3,0,30911,Tommy Fleetwood,69.357,5138,-5.577,74
4,1,54591,Ben Griffin,69.692,7194,53.983,104
5,-1,34098,Russell Henley,69.757,4991,31.485,72
6,0,57975,Harry Hall,69.764,6471,86.832,94
7,0,39324,J.J. Spaun,69.830,6323,31.546,91
8,0,52215,Robert MacIntyre,69.900,5841,30.640,84
9,0,54421,Garrick Higgo,70.032,3306,55.522,48
10,-1,49960,Sepp Straka,70.047,5279,44.598,76
11,-1,33968,Thorbjørn Olesen,70.100,4994,53.175,72
12,-1,48081,Xander Schauffele,70.112,4488,-0.816,64
13,-1,34046,Jordan Spieth,70.118,4765,3.012,68
14,-1,34099,Harris English,70.143,5883,9.035,84
15,-1,59095,Chris Gotterup,70.151,6305,78.713,91
16,-1,52453,Nicolai Højgaard,70.178,3613,36.232,52
17,-1,47504,Sam Burns,70.184,6541,56.319,94
18,-1,33448,Justin Thomas,70.187,5578,36.967,80
19,-1,48117,Kurt Kitayama,70.194,5126,68.341,74
20,-1,33141,Keegan Bradley,70.195,5593,22.577,80
21,-1,32839,Hideki Matsuyama,70.214,6007,31.427,86
22,-1,46717,Viktor Hovland,70.229,4553,11.860,65
23,-1,46414,Aaron Rai,70.234,5038,18.846,72
24,-1,34021,Bud Cauley,70.236,5046,10.956,72
25,-1,39997,Corey Conners,70.260,5670,21.090,81
26,-1,46442,Maverick McNealy,70.264,6575,29.834,94
27,-1,52955,Ludvig Åberg,70.281,4827,22.402,69
28,-1,33204,Shane Lowry,70.312,4909,12.833,70
29,-1,50525,Collin Morikawa,70.313,5316,27.789,76
30,1,35450,Patrick Cantlay,70.354,5166,40.174,74
31,2,29936,Ryan Fox,70.364,4917,8.492,70
32,2,40098,Matt Fitzpatrick,70.382,5186,22.250,74
33,-3,48887,Matt Wallace,70.387,5101,37.275,73
34,3,46340,Alex Smalley,70.389,5425,65.360,78
35,3,40250,Taylor Pendrith,70.390,5740,31.959,82
36,3,40026,Daniel Berger,70.400,5282,-1.976,75
37,-2,47679,Victor Perez,70.401,5562,70.096,80
38,2,39975,Michael Kim,70.435,6737,24.783,96
39,-7,45242,Kevin Yu,70.438,6319,90.875,91
40,-4,25493,Nick Taylor,70.459,5729,48.636,82
41,3,37455,Si Woo Kim,70.462,6639,54.926,95
42,-13,39546,Keith Mitchell,70.468,5557,80.458,80
43,3,47993,Denny McCarthy,70.473,5895,24.770,84
44,3,32102,Rickie Fowler,70.475,5374,52.603,77
45,0,59836,Pierceson Coody,70.478,3037,64.013,44
46,2,28089,Jason Day,70.480,4342,27.770,62
47,3,59018,Ryan Gerard,70.494,6730,37.385,96
48,1,51696,Rico Hoey,70.500,6388,98.004,92
49,2,59141,Matt McCarty,70.505,5922,70.957,85
50,-8,54628,Lee Hodges,70.506,4854,81.423,70
51,-6,57364,Michael Thorbjornsen,70.508,5481,89.109,79
52,-12,31646,Emiliano Grillo,70.510,6491,66.401,93
52,0,57366,Cameron Young,70.510,6095,39.366,87
54,1,56630,Akshay Bhatia,70.558,6080,58.546,87
55,7,23108,Matt Kuchar,70.566,4178,55.962,60
56,-2,60004,Jacob Bridgeman,70.573,6430,62.710,92
57,-1,25900,Lucas Glover,70.576,5273,20.196,75
58,-1,31323,Gary Woodland,70.594,5319,46.143,76
59,-1,47420,Jake Knapp,70.600,5350,86.234,77
59,-6,39335,Kevin Roy,70.600,5626,92.573,81
61,-1,22405,Justin Rose,70.614,4096,-0.381,58
62,-1,55893,Sam Stevens,70.624,7160,43.636,102
63,1,51894,Vince Whaley,70.625,6393,104.540,92
64,-21,57586,Jesper Svensson,70.658,5648,75.295,81
65,7,48867,Matti Schmid,70.663,5864,71.720,84
66,-1,49771,J.T. Poston,70.694,6193,28.072,88
67,-1,52686,Rasmus Højgaard,70.696,4634,31.962,66
68,2,45522,Christiaan Bezuidenhout,70.724,6239,55.426,89
69,2,27644,Brian Harman,70.725,6116,37.046,87
70,-11,47917,Takumi Kanaya,70.730,5231,73.777,75
71,-3,34256,Andrew Putnam,70.744,5157,78.037,74
72,-9,37275,Sam Ryder,70.757,5732,70.058,82
73,5,51349,Nico Echavarria,70.762,5664,67.689,81
74,-7,57123,Steven Fisk,70.769,5235,72.653,75
75,-6,59440,Ricky Castillo,70.775,5173,64.369,74
